date,year,month,state,type,source,mwh,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Other Gases,769893,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Nuclear,67430878,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,19346314,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Wind,615657,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,4036,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2975426,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Geothermal,1190232,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Other Biomass,1252855,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Pumped Storage,-622574,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Other,1051329,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Total,305496328,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Coal,164358018,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Petroleum,6690371,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Natural Gas,48412832,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Other Gases,922715,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Nuclear,70925863,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,21794932,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Wind,811402,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,11320,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3255322,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Geothermal,1287483,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Other Biomass,1233475,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Pumped Storage,-750105,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Other,987848,,,
Jan-02,2002,1,US-TOTAL,Total Electric Power Industry,Total,319941476,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Coal,143048822,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Petroleum,5663815,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Natural Gas,44308431,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Other Gases,759660,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Nuclear,61658274,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,20191683,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Wind,713932,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,23565,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2843960,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Geothermal,1132195,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Other Biomass,1086122,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Pumped Storage,-586188,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Other,981440,,,
Feb-02,2002,2,US-TOTAL,Total Electric Power Industry,Total,281825712,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Coal,151485651,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Petroleum,8217375,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Natural Gas,51214464,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Other Gases,903928,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Nuclear,63040647,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,21008813,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Wind,852102,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,44397,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2960789,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Geothermal,1244968,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Other Biomass,1251775,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Pumped Storage,-684133,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Other,1008234,,,
Mar-02,2002,3,US-TOTAL,Total Electric Power Industry,Total,302549011,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Coal,142304595,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Petroleum,7833580,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Natural Gas,49146409,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Other Gases,889941,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Nuclear,58437062,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,24246605,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Wind,1024417,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,45858,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3196347,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Geothermal,1114735,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Other Biomass,1161600,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Pumped Storage,-584772,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Other,1031877,,,
Apr-02,2002,4,US-TOTAL,Total Electric Power Industry,Total,289848253,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Coal,151406401,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Petroleum,8126867,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Natural Gas,50275237,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Other Gases,909565,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Nuclear,63032192,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,26662695,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Wind,1077641,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,57640,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3161187,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Geothermal,1215874,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Other Biomass,1247185,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Pumped Storage,-538788,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Other,1040874,,,
May-02,2002,5,US-TOTAL,Total Electric Power Industry,Total,307674569,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Coal,164667695,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Petroleum,7795860,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Natural Gas,65631018,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Other Gases,1008659,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Nuclear,66371896,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,28212847,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Wind,1126315,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,95543,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3395490,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Geothermal,1150799,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Other Biomass,1297599,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Pumped Storage,-863077,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Other,1132500,,,
Jun-02,2002,6,US-TOTAL,Total Electric Power Industry,Total,341023144,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Coal,183194702,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Petroleum,9912993,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Natural Gas,83917269,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Other Gases,1071146,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Nuclear,70420827,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,25470647,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Wind,890455,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,85537,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3440225,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Geothermal,1262246,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Other Biomass,1377976,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Pumped Storage,-997855,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Other,1495939,,,
Jul-02,2002,7,US-TOTAL,Total Electric Power Industry,Total,381542107,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Coal,179955447,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Petroleum,9736862,,,
Aug-02,2002,8,US-TOTAL,Total Electric Power Industry,Natural Gas,84476867,,,
